ffi_h_code,distance_km,name
0112039,11.852064901610042,Qda Vainilla
0112039,0.030066200753174354,Rio Maniti
0117027,2.3937849688236352,Rio Amazonas
0117027,49.04351758086294,Rio Itaya
0117027,15.838291094329675,Qda Vainilla
0117027,6.068373373046495,Rio Maniti
0117028,2.7281826162709497,Rio Amazonas
0117028,50.85900808136837,Rio Itaya
0117028,14.332744210078747,Qda Vainilla
0117028,5.007893514279103,Rio Maniti
0117029,2.601820989136591,Rio Amazonas
0117029,50.26121137319115,Rio Itaya
0117029,15.0276500400304,Qda Vainilla
0117029,5.630575037855746,Rio Maniti
0117030,2.6362944267991577,Rio Amazonas
0117030,50.06140575371433,Rio Itaya
0117030,15.18714296816391,Qda Vainilla
0117030,5.767885279171145,Rio Maniti
0117005,2.7345613841501963,Rio Amazonas
0117005,50.904872470175505,Rio Itaya
0117005,14.286662587250847,Qda Vainilla
0117005,4.969233758760902,Rio Maniti
0117011,2.6931027930063016,Rio Amazonas
0117011,50.80090034983176,Rio Itaya
0117011,14.418570185261382,Qda Vainilla
0117011,5.086674060151309,Rio Maniti
0117013,2.6774798445283765,Rio Amazonas
0117013,50.70762153254789,Rio Itaya
0117013,14.518283543302383,Qda Vainilla
0117013,5.172919138179337,Rio Maniti
0117014,2.6808581565930574,Rio Amazonas
0117014,50.691475008831034,Rio Itaya
0117014,14.529756566951797,Qda Vainilla
0117014,5.181732715234207,Rio Maniti
0117015,2.673893271688018,Rio Amazonas
0117015,50.658549839140505,Rio Itaya
0117015,14.56803649807055,Qda Vainilla
0117015,5.215732626150518,Rio Maniti
0117024,2.322001850072424,Rio Amazonas
0117024,48.847181178091375,Rio Itaya
0117024,15.986791760157722,Qda Vainilla
0117024,6.1172046798049236,Rio Maniti
0117025,2.3082532271423126,Rio Amazonas
0117025,48.80016212772048,Rio Itaya
0117025,16.028432846036505,Qda Vainilla
0117025,6.136030548240514,Rio Maniti
0117026,2.3039162615716027,Rio Amazonas
0117026,48.73677580081846,Rio Itaya
0117026,16.103906708574492,Qda Vainilla
0117026,6.182058435266031,Rio Maniti
0117016,2.645869008447214,Rio Amazonas
0117016,50.571218572656164,Rio Itaya
0117016,14.67887408616753,Qda Vainilla
0117016,5.316315709295603,Rio Maniti
